turn,execution,tmig,batteryenergy,temp1,temp2,mig,core,dtime,latency
0,0,0,27895,32,44,0,2,46,2
0,0,0,27895,32,44,0,2,46,3
0,0,0,27895,32,44,0,2,46,4
0,0,0,27895,35,32,0,1,50,0
0,0,0,27895,35,32,0,1,50,1
0,0,0,27895,35,32,0,1,50,2
0,0,0,27895,35,32,0,1,50,3
0,0,0,27895,35,32,0,1,50,4
0,0,0,27896,35,32,0,1,49,0
0,0,0,27896,35,32,0,1,49,1
0,0,0,27896,35,32,0,1,49,2
0,0,0,27896,35,32,0,1,49,3
0,0,0,27896,35,32,0,1,49,4
0,0,0,27897,35,32,0,1,48,0
0,0,0,27897,35,32,0,1,48,1
0,0,0,27897,35,32,0,1,48,2
0,0,0,27897,35,32,0,1,48,3
0,0,0,27897,35,32,0,1,48,4
0,0,0,27898,35,32,0,1,47,0
0,0,0,27898,35,32,0,1,47,1
0,0,0,27898,35,32,0,1,47,2
0,0,0,27898,35,32,0,1,47,3
0,0,0,27898,35,32,0,1,47,4
0,0,0,27899,35,32,0,1,46,0
0,0,0,27899,35,32,0,1,46,1
0,0,0,27899,35,32,0,1,46,2
0,0,0,27899,35,32,0,1,46,3
0,0,0,27899,35,32,0,1,46,4
0,0,0,27920,32,44,0,2,50,0
0,0,0,27920,32,44,0,2,50,2
0,0,0,27920,32,44,0,2,50,3
0,0,0,27920,32,44,0,2,50,4
0,0,0,27925,32,44,0,2,49,0
0,0,0,27925,32,44,0,2,49,2
0,0,0,27925,32,44,0,2,49,3
0,0,0,27925,32,44,0,2,49,4
0,0,0,27928,35,32,0,1,50,0
0,0,0,27928,35,32,0,1,50,1
0,0,0,27928,35,32,0,1,50,2
0,0,0,27928,35,32,0,1,50,3
0,0,0,27928,35,32,0,1,50,4
0,0,0,27929,35,32,0,1,49,0
0,0,0,27929,35,32,0,1,49,1
0,0,0,27929,35,32,0,1,49,2
0,0,0,27929,35,32,0,1,49,3
0,0,0,27929,35,32,0,1,49,4
0,0,0,27930,32,44,0,2,48,0
0,0,0,27930,32,44,0,2,48,2
0,0,0,27930,32,44,0,2,48,3
0,0,0,27930,32,44,0,2,48,4
0,0,0,27932,32,44,0,2,50,0
0,0,0,27932,32,44,0,2,50,2
0,0,0,27932,32,44,0,2,50,3
0,0,0,27932,32,44,0,2,50,4
0,0,0,27935,32,44,0,2,47,0
0,0,0,27935,32,44,0,2,47,2
0,0,0,27935,32,44,0,2,47,3
0,0,0,27935,32,44,0,2,47,4
0,0,0,27937,32,44,0,2,49,0
0,0,0,27937,32,44,0,2,49,2
0,0,0,27937,32,44,0,2,49,3
0,0,0,27937,32,44,0,2,49,4
0,0,0,27940,32,44,0,2,46,0
0,0,0,27940,32,44,0,2,46,2
0,0,0,27940,32,44,0,2,46,3
0,0,0,27940,32,44,0,2,46,4
0,0,0,27940,35,32,0,1,50,0
0,0,0,27940,35,32,0,1,50,1
0,0,0,27940,35,32,0,1,50,2
0,0,0,27940,35,32,0,1,50,3
0,0,0,27940,35,32,0,1,50,4
0,0,0,27941,35,32,0,1,49,0
0,0,0,27941,35,32,0,1,49,1
0,0,0,27941,35,32,0,1,49,2
0,0,0,27941,35,32,0,1,49,3
0,0,0,27941,35,32,0,1,49,4
0,0,0,27942,32,44,0,2,48,0
0,0,0,27942,32,44,0,2,48,2
0,0,0,27942,32,44,0,2,48,3
0,0,0,27942,32,44,0,2,48,4
0,0,0,27942,35,32,0,1,48,0
0,0,0,27942,35,32,0,1,48,1
0,0,0,27942,35,32,0,1,48,2
0,0,0,27942,35,32,0,1,48,3
0,0,0,27942,35,32,0,1,48,4
0,0,0,27943,35,32,0,1,47,0
0,0,0,27943,35,32,0,1,47,1
0,0,0,27943,35,32,0,1,47,2
0,0,0,27943,35,32,0,1,47,3
0,0,0,27943,35,32,0,1,47,4
0,0,0,27944,32,44,0,2,50,0
0,0,0,27944,32,44,0,2,50,2
0,0,0,27944,32,44,0,2,50,3
0,0,0,27944,32,44,0,2,50,4
0,0,0,27944,35,32,0,1,46,0
0,0,0,27944,35,32,0,1,46,1
0,0,0,27944,35,32,0,1,46,2
0,0,0,27944,35,32,0,1,46,3
0,0,0,27944,35,32,0,1,46,4
0,0,0,27945,32,44,0,2,45,0
0,0,0,27945,32,44,0,2,45,2
0,0,0,27945,32,44,0,2,45,3
0,0,0,27945,32,44,0,2,45,4
0,0,0,27947,32,44,0,2,47,0
0,0,0,27947,32,44,0,2,47,2
0,0,0,27947,32,44,0,2,47,3
0,0,0,27947,32,44,0,2,47,4
0,0,0,27949,32,44,0,2,49,0
0,0,0,27949,32,44,0,2,49,2
0,0,0,27949,32,44,0,2,49,3
0,0,0,27949,32,44,0,2,49,4
0,0,0,27950,32,44,0,2,44,0
0,0,0,27950,32,44,0,2,44,2
0,0,0,27950,32,44,0,2,44,3
0,0,0,27950,32,44,0,2,44,4
0,0,0,27952,32,44,0,2,46,0
0,0,0,27952,32,44,0,2,46,2
0,0,0,27952,32,44,0,2,46,3
0,0,0,27952,32,44,0,2,46,4
0,0,0,27952,35,32,0,1,50,0
0,0,0,27952,35,32,0,1,50,1
0,0,0,27952,35,32,0,1,50,2
0,0,0,27952,35,32,0,1,50,3
0,0,0,27952,35,32,0,1,50,4
0,0,0,27953,35,32,0,1,49,0
0,0,0,27953,35,32,0,1,49,1
0,0,0,27953,35,32,0,1,49,2
0,0,0,27953,35,32,0,1,49,3
0,0,0,27953,35,32,0,1,49,4
0,0,0,27954,35,32,0,1,48,0
0,0,0,27954,35,32,0,1,48,1
0,0,0,27954,35,32,0,1,48,2
0,0,0,27954,35,32,0,1,48,3
0,0,0,27954,35,32,0,1,48,4
0,0,0,27955,32,44,0,2,43,0
0,0,0,27955,32,44,0,2,43,2
0,0,0,27955,32,44,0,2,43,3
0,0,0,27955,32,44,0,2,43,4
0,0,0,27955,35,32,0,1,47,0
0,0,0,27955,35,32,0,1,47,1
0,0,0,27955,35,32,0,1,47,2
0,0,0,27955,35,32,0,1,47,3
0,0,0,27955,35,32,0,1,47,4
0,0,0,27956,35,32,0,1,46,0
0,0,0,27956,35,32,0,1,46,1
0,0,0,27956,35,32,0,1,46,2
0,0,0,27956,35,32,0,1,46,3
0,0,0,27956,35,32,0,1,46,4
0,0,0,27957,35,32,0,1,45,0
0,0,0,27957,35,32,0,1,45,1
0,0,0,27957,35,32,0,1,45,2
0,0,0,27957,35,32,0,1,45,3
0,0,0,27957,35,32,0,1,45,4
0,0,0,27958,35,32,0,1,44,0
0,0,0,27958,35,32,0,1,44,1
